RequirementText,Type
"Admin Account Security GIST: Security of admin accounts. SCALE: An admin and IP address should not be able to log-in to the web portal for a certain time period after three times of failed log-in attempts. METER: 1000 attempts to log-in during the lock period after user account has been locked because of failed log-in attempts of three times. MUST: The locking period should be half an hour, and during that period the log-in function is disabled.",NFR
"User Create Account Security GIST: The security of creating account for users of the system. SCALE: If a user wants to create an account and the desired user name is occupied, the user should be asked to choose a different user name. METER: Measurements obtained on 1000 hours of usage during testing. MUST: 100% of the time.",NFR
"Restaurant Owner Create Account Security GIST: The security of creating account for restaurant owners of the system. SCALE: If a restaurant owner wants to create an account and the desired user name is occupied, the restaurant owner should be asked to choose a different user name. METER: Measurements obtained on 1000 hours of usage during testing. MUST: 100% of the time.",NFR
Application extendibility DESC: The application should be easy to extend. The code should be written in a way that it favors implementation of new functions.,NFR
Application testability DESC: Test environments should be built for the application to allow testing of the applications different functions.,NFR
Application portability DESC: The application should be portable with iOS and Android.,NFR
Performance Requirements 10000 users should be able to use the system at the same time. The response time of the system should be 2 seconds at most.,NFR
Design Constraints We will use â€œwaterfall methodâ€ and Object â€“ Oriented Programming paradigm. We will use Java as programming language. The Android version of the device should be 2.3 or higher. The system requires Internet connection all the time.,NFR
â€‹ The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out.,NFR
The overall accuracy of the Web APIâ€™s response will be measured using a developer-made testing set.,NFR
The overall accuracy is calculated by dividing total number of correct answers by the number of questions asked.,NFR
The accuracy of the Generic Question Constructionâ€‹ part will be close to 80% ,NFR
Modularity  The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out. ,NFR
"The overall accuracy of the Web APIâ€™s response will be measured using a developer-made testing set. The overall accuracy is calculated by dividing total number of correct answers by the number of questions asked. The accuracy of the Generic Question Constructionâ€‹ part will be close to 80%. The accuracy of the Generic Answer Constructionâ€‹ unit will be close to 70% The accuracy of the Generic Answer Populationâ€‹ unit will be close to 70% Drexel facilitiesâ€™ locations and schedules will have accuracy greater than 70%  â€‹ Drexel staffâ€™s office locations, contact information, and positions will have accuracy greater than 70%. â€‹ Drexel policies including academics, admissions, information technology etc. will have accuracy greater than 70%.â€‹ â€‹ On-campus dining locations, hours, food types, etc. will have accuracy greater than 50%. â€‹ Food trucksâ€™ general locations, hours, and food types on Drexel Campus will have accuracy greater than 40%. ",NFR
"Fast Response The average time for the server to respond, over the question testing set, will be less than or equal to 2 seconds",NFR
"Security The connection between the Web API and the programs will use HTTPS, for security.",NFR
Ease of Useâ€‹ A new user will make less than 3 mistakes in 5 minutes after 5 minutes of use.,NFR
The search feature should be prominent and easy to find for the user.,NFR
"The different search options should be evident, simple and easy to understand.",NFR
The results displayed in the list view should be user friendly and easy to understand. Selecting an element in the result list should only take one click.,NFR
The results displayed in the map view should be user friendly and easy to understand. Selecting a pin on the map should only take one click.,NFR
The information link should be prominent and it should be evident that it is a usable link. Selecting the information link should only take one click.,NFR
The user interface must be GUI based.,NFR
The users are required to input the data from cell phone keypad,NFR
User has the options to change the settings locally and remotely.,NFR
Reduce the typing option by giving support for select menus.,NFR
The primary performance requirement is speed of the network.  The application itself will only have minimal logic and so there should be little to no issues with the computation required by the phone itself.,NFR
"There are no safety requirements with this application, other than any normal hazards of a mobile device.  The only hazard is a user using the device when they should not be, such as while driving.",NFR
The application must be able to link up with the INTERNAL system in order for users to properly log in and be identified.  This information must be kept secure.,NFR
"The primary attribute of this application will be usability given the large amounts of data and information that will be presented on such a small screen, as well as the userâ€™s ability to input data into the device in a reasonable manner that should not be that much more difficult than if they were at an actual computer.",NFR
"With regards to the intended number of users in the Amsterdam pilot, and the projected load scenarios, the intention is for the system to be able to serve 20.000 queries / day (in large part during the 4 peak traffic hours).",NFR
"In order to create a viable offering for the user we will have to build a simple, transparent system that can be understood and trusted by the people that are using it.",NFR
"Anonimization & aggregation, so that route information may be shared safely without disclosing personal information.",NFR
"Encryption, for all data that is privacy sensitive, but must be persisted on the server in order for basic functionality. ",NFR
Permit the use of unverified (anonymous) avatars / aliases.,NFR
Give control to end-users over private data (at least a delete private repository option),NFR
"The system should be language agnostic, since portability is a prime goal of the overall project. English, turkish, Finnish, and Italian should be at least be supported because these are the replication partners.",NFR
All text elements in the user interfaces are presented in the selected language English and Dutch.,NFR
Sub-apps and their launchers can be added to the main app by a qualified programmer.,NFR
Sub-apps and their launchers in the main app can be deleted by a qualified programmer.,NFR
"The application maintainer should also be able to change the (lists of) information sources of the sub-applications: agenda, news, Facebook and Twitter ",NFR
"Application maintainers should be able to maintain the application, without having knowledge about Java Android programming. They should be able to modify the approximate appearance of the application. This means the colors, and GUI figures in the applications, but not the addition/deletion of GUI elements.",NFR
"Application will be extendable. This means that a skilled Java Android programmer should be able to easily add a new sub-application to insApption, and add a launcher to it in the main-application.",NFR
Users must be a Radford University student in order to access the automatic class schedule and assignment sharing features of this application Users can authenticate by logging in using their RU username and password.,NFR
Most functionality will not require network connectivity.  System components that require authentication through Radford University and network connectivity will function as long as the systems maintained by the University are available.,NFR
The development team will follow best practices for clean code and software modularity in order to make the application as maintainable as possible.,NFR
Users will be able to access this application on or off campus anytime on their mobile device without the need of an internet connection.,NFR
"The application will be highly extensible in terms of adding course and calendar details or views.  However, the application in general has low extensibility.",NFR
An application instance shall be able to be reusable every semester for a returning student.The user will be able to update their class schedule by having the application check for a registered schedule set for the next semester and if the current school semester is over.Application components will be able to be integrated into the larger RU Mobile application developed and maintained by Radford University.,NFR
The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out.,NFR
The accuracy of the Generic Question Constructionâ€‹ part will be close to 80%.,NFR
The accuracy of the Generic Answer Constructionâ€‹ unit will be close to 70%.,NFR
The accuracy of the Generic Answer Populationâ€‹ unit will be close to 70%.,NFR
"The average time for the server to respond, over the question testing set, will be less than or equal to 2 seconds.",NFR
"The connection between the Web API and the programs will use HTTPS, for security.",NFR
A new user will make less than 3 mistakes in 5 minutes after 5 minutes of use.,NFR
"FAU class contains requirements for recording the occurrence of security relevant events that take place under TSF control. This family identifies the level of auditing, enumerates the types of events that shall be auditable by the TSF, and identifies the minimum set of audit related information that should be provided within various audit record types. The following extended requirement for the FAU class has been included in this ST because the operational environment is capable of providing security audit generation for TSF functions.",NFR
"Performance should not be an issue because all of our server queries involve small pieces of data. Changing screens will require very little computation and thus will occur very quickly. Server updates should only take a few seconds as long as the phone can maintain a steady signal. The cost-division algorithms used by in application will be highly efficient, taking only a fraction of a second to compute.",NFR
SplitPay will not affect data stored outside of its servers nor will it affect any other applications installed on the userâ€™s phone. It cannot cause any damage to the phone or its internal components. The only potential safety concern associated with this application applies to virtually all handset apps: SplitPay should not be used while operating a vehicle or in any other situation where the userâ€™s attention must be focused elsewhere.,NFR
"This application assumes that only the user or whoever he/she allows will have access to his/her Android handset. With that being said, only a Google email address is required to verify the identity of the user upon opening the app. Since it is not password protected, there is no method to authenticate the userâ€™s identity. This could only pose a thread if a user has set up PayPal functionality, however any transaction involving real currency must be authorized and confirmed before becoming final. The PayPal API provides all of the security checks needed to ensure that no fraudulent transactions occur.",NFR
The graphical user interface of SplitPay is to be designed with usability as the first priority. The app will be presented and organized in a manner that is both visually appealing and easy for the user to navigate. There will be feedbacks and visual cues such as notifications to inform users of updates and pop-ups to provide users with instructions.,NFR
"To ensure reliability and correctness, there will be zero tolerance for errors in the algorithm that computes and splits expenses between group members. To maintain flexibility and adaptability, the app will take into account situations in which a user loses internet connection or for whatever reason cannot establish a connection with the server. These users will still be able to use the application, but any Bills, transactions, etc. posted while disconnected will be cached until the connection is restored.",NFR
All text elements in the user interfaces are presented in the selected language (for language selection see requirement UCAR101. The available languages are mentioned in UCAR002 and UCAR003) ,NFR
English is an available language. ,NFR
Dutch is an available language.,NFR
The administrator can change the colors used in the user interfaces of the sub-apps and main-app (this does not include the external resources).,NFR
The administrator can change the fonts used in the user interfaces of the sub-apps and main-app (this does not include the external resources).,NFR
The administrator can change icons used in the user interfaces of the sub-apps and main-app (this does not include the external resources).,NFR
The administrator can change buttons used in the user interfaces of the sub-apps and main-app (this does not include the external resources).,NFR
The administrator can change the background used in the user interfaces of the sub- apps and main-app (this does not include the external resources).,NFR
The administrator can change text elements used in the user interfaces of the sub-apps and main-app (this does not include the external resources).,FR
The language can only be selected in the main app.,FR
The default language of insApption is English,FR
The main menu contains a launcher to the Map-app.3.1.3,FR
The main menu contains a launcher to the News-app.3.1.4,FR
The main menu contains a launcher to the Agenda-app.3.1.5,FR
The main menu contains a launcher to the Facebook-app.3.1.9,FR
The main menu contains a launcher to the Twitter-app.3.1.10,FR
The main menu contains a launcher to the Employee-finder-app.3.1.6,FR
"The main menu contains a launcher to the Encyclopedia-app, only if the Dutch language is selected.3.1.7",FR
"The main menu contains a launcher to the Student handbook-app, only if the Dutch language is selected.3.1.8 ",FR
It is possible to â€œlikeâ€ insApption from within the main menu.,FR
It is possible to â€œtweetâ€ insApption from within the main menu.,FR
There is a link to a Twitter settings menu.,FR
There is a link to a Facebook settings menu.,FR
"In the settings menu for Twitter the user can save username in combination with password, regarding Twitter.",FR
"In the settings menu for Facebook the user can save username in combination with password, regarding Facebook.",FR
"In the settings menu for Twitter there is an option to delete the saved username in combination with the password, regarding Twitter.",FR
"In the settings menu for Facebook there is an option to delete the saved username in combination with the password, regarding Facebook.",FR
The application maintainer can modify the appearance of the separate launchers.,FR
It is possible to search for a certain building on the campus of the TU/e by name.,FR
It is possible to search for a certain building on the campus of the TU/e by address.,FR
It is possible to search for a certain POI on the campus of the TU/e by name.,FR
A search described in requirements UCAR201 and UCAR202 results in a displayed set of buildings that match the search input.,FR
A search described in requirements UCAR203 results in a displayed set of POIâ€™s that match the search input.,FR
"It is possible to view an element from the search result described in UCAR201, UCAR202 and UCAR203 in the map view.",FR
It is possible to navigate from a building on the campus to another building on the campus.,FR
It is possible to navigate from a building on the campus to a POI on the campus.,FR
It is possible to navigate from a POI on the campus to a building on the campus.,FR
It is possible to navigate from a POI on the campus to a POI on the campus.,FR
It is possible to navigate from an POI on the campus to another location on the campus.,FR
It is possible to navigate from a street on the campus to another location on the campus.,FR
It is possible to switch between different means of transportation in the navigator.,FR
The from-location can be searched by the name of a building.,FR
The from-location can be searched by the address of a building.,FR
The from-location can be searched by the name of a POI.,FR
The from-location is selected from the search result described in UCAR211 and UCAR212.,FR
The from-location can be selected on the map.,FR
The to-location can be searched by the name of a building.,FR
The to-location can be searched by the address of a building.,FR
The to-location can be searched by the name of a POI.,FR
The to-location is selected from the search result described in UCAR215 and UCAR216.,FR
The to-location can be selected on the map.,FR
The route planned by the navigator is shown in the map view.,FR
The application has a map view in stylistic style.,FR
The application has a map view in satellite style.,FR
It is possible to switch between stylistic map view and satellite map view.,FR
It is possible to zoom when in the map view.,FR
It is possible to pan when in the map view.,FR
Current location is shown in the map view.,FR
POIâ€™s of a building are indicated.,FR
It is possible to â€œtweetâ€ the userâ€™s current location.,FR
It is possible to change the status on Facebook. The new status will indicate the userâ€™s current location.,FR
The administrator can change the stylistic map.,FR
The administrator can add buildings.,FR
The administrator can remove buildings.,FR
The administrator can add vertices of a path which is used in the route planner.,FR
The administrator can remove vertices of a path which is used in the route planner.,FR
The administrator can remove edges of a path which is used in the route planner.,FR
The administrator can add edges of a path which is used in the route planner.,FR
"The administrator can add POIâ€™s. A POI should belong to a certain building, floor and room number.",FR
"The administrator can remove POIâ€™s. A POI should belong to a certain building, floor and room number.",FR
"The administrator can link a POI to a certain building, floor and room.",FR
"The administrator can unlink a POI from a certain building, floor and room.",FR
Titles of all news items available through the news RSS-feeds are shown on the title screen.,FR
"From the first titles of the news articles, the first lines are shown.",FR
Full news report is shown after choosing the corresponding news title.,FR
It is possible to â€œlikeâ€ a certain news item.,FR
It is possible to â€œtweetâ€ a certain news item.,FR
The administrator can modify the list of news RSS-feeds that are available in English.,FR
The administrator can modify the list of news RSS-feeds that are available in Dutch.,FR
"When the agenda-app is started, upcoming events are shown on the title screen.",FR
There is a calender view.,FR
It is possible to open calendar view.,FR
It is possible to close calendar view.,FR
The user can change the calender to a different month.,FR
The user is able to see on which days events take place in calendar view.,FR
The current day is indicated on the calendar.,FR
By selecting a certain day in the calendar the events for that day are shown.,FR
It is possible to search for events by date.,FR
It is possible to search for events by subject.,FR
A search described in requirements UCAR406 and UCAR407 results in a displayed set of events that match the search input.,FR
It is possible to â€œlikeâ€ a certain event.,FR
It is possible to â€œtweetâ€ a certain event.,FR
The only events that are available in the agenda-app are extracted from the agenda RSS-feeds in the selected language.,FR
The administrator can modify the list of agenda RSS-feeds that are available in English.,FR
The administrator can modify the list of agenda RSS-feeds that are available in Dutch.,FR
It is possible to search a person by name.,FR
It is possible to search a person by department.,FR
A search described in requirements UCAR501 and UCAR502 results in a displayed set of employees that match the search input.,FR
It is possible to view all personal info available through the employee pages of a person in the search result set of requirement UCAR503.,FR
It is possible to show the location of the employeeâ€™s office in the map view (see 3.1.3).,FR
It is possible to plan a route to the location of the employeeâ€™s office (see 3.1.3).,FR
When the Encyclopedia-app is started the most searched items are shown on the title screen.,FR
When the Encyclopedia-app is started the most recent items are shown on the title screen.,FR
It is possible to search the book by a certain word or phrase.,FR
A search described in requirement UCAR602 results in a displayed set of topics.,FR
The user can select a topic from the search result list.,FR
By clicking on a topic the full text regarding that topic is shown.,FR
It is possible to â€œlikeâ€ a certain topic.,FR
It is possible to â€œtweetâ€ a certain topic.,FR
When the student handbook-app is started the most searched items are shown on the title screen.,FR
A search described in requirement UCAR702 results in a displayed set of topics.,FR
The user can select a topic from the search result described in requirement UCAR703.,FR
When the Facebook-app is started the page of TU/e on Facebook is shown on the title screen.,FR
Other TU/e related Facebook-sites can be selected from a list (see for contents of list requirement UCAR803).,FR
The administrator can modify the list of TU/e related Facebook-sites.,FR
When the Twitter-app is started the page of TU/e on Twitter is shown on the title screen.,FR
Other TU/e related Twitter-sites can be selected from a list (see for contents of list requirement UCAR903).,FR
The administrator can modify the list of TU/e related Twitter-sites.,FR
Download mobile application DESC: A user should be able to download the mobile application through either an application store or similar service on the mobile phone. The application should be free to download.,FR
"Download and notify users of new releases DESC: When a new/updated version or release of the software is released, the user should check for these manually. The download of the new release should be done through the mobile phone in the same way as downloading the mobile application.",FR
"User registration - Mobile application DESC: Given that a user has downloaded the mobile application, then the user should be able to register through the mobile application. The user must provide user-name, password and e-mail address. The user can choose to provide a regularly used phone number.",FR
"User log-in - Mobile application DESC: Given that a user has registered, then the user should be able to log in to the mobile application. The log-in information will be stored on the phone and in the future the user should be logged in automatically.",FR
"Retrieve password DESC: Given that a user has registered, then the user should be able to retrieve his/her password by e-mail.",FR
"Mobile application - Search DESC: Given that a user is logged in to the mobile application, then the first page that is shown should be the search page. The user should be able to search for a restaurant, according to several search options. The search options are Price, Destination, Restaurant type and Specific dish. There should also be a free text search option. A user should be able to select multiple search options in one search.",FR
"Mobile application - Search result in a map view DESC: Search results can be viewed on a map. On the map, the relevant and closest restaurants according to the userâ€™s position are shown. A specific pin will represent a specific restaurant location. On each pin there should be an information link. There should be maximally 100 results displayed. The map view should have a default zoom. The map view should include a button that, when selected, should display different filtering options in a filtering menu.",FR
"Mobile application - Search result in a list view Search results can be viewed in a list. Each element in the list represents a specific restaurant. Each element should include the restaurant name, telephone number, type of food, distance according to the userâ€™s position, average price, a short two-line description, a link to the restaurantâ€™s web-page and an information link. There should be maximally 100 results displayed. If the result contains more restaurants than what can be displayed on the screen at one time, the user should be able to scroll through them. When searching by price the restaurants should be sorted according to the following order: 1. average price 2. distance 3. restaurant type 4. specific dish When searching by a search option, other than price, the restaurants should be sorted according to the following order: 1. distance 2. average price 3. restaurant type 4. specific dish The list view should include a header with different selectable sorting options. The list view should include a button that, when selected, should display different filtering options in a filtering menu.",FR
"Mobile application - Navigation to restaurant DESC: A user should be able to select a pin on a map or an element on a list. When a selection is made, the location of the restaurant should be sent to the mobile phoneâ€™s GPS-navigation program. The user should then be navigated to the destination. When the destination is reached, a user should be able to go back to the search page on the mobile application.",FR
Mobile application - Switch result view DESC: A user should be able to switch between a map view and a list view for all search options.,FR
"Mobile application - Selecting the information link DESC: A user should be able to select the information link, which is included on all result items. The link will direct the user to an information page, which includes a picture of the restaurant, the restaurant name, address, phone number, e-mail address, type of food, average price, restaurant description and a menu with name, description and price of the different dishes.",FR
Mobile application - Search by price DESC: A user should be able to input a maximum and a minimum price range. The result is displayed in a list view by default.,FR
"Mobile application - Search by destination DESC: A user should be able to input a maximum and a minimum distance, according to his/her position. By default the minimum distance is set to 0 km and the maximum to 10 km. The user should be able to input a higher or lower maximum distance and a higher minimum distance than set by default. The result is displayed in a map view by default.",FR
Accepted input for price and destination search DESC: Integers should be accepted as input when a user searches by price or destination. If the system receives an invalid input the user should be informed and prompted to insert an accepted input.,FR
Mobile application - Search by restaurant type DESC: A user should be able to select a restaurant type in a given list as input. The result is displayed in a map view by default.,FR
Mobile application - Search by specific dish DESC: A user should be able to select a specific dish in a given list as input. The result is displayed in a map view by default.,FR
"Mobile application - Free-text search DESC: A user should be able to conduct a search by providing either restaurant name, restaurant description, restaurant address, restaurant type or restaurant menu in the free-text search field. The result is displayed in a map view by default.",FR
Mobile application - No match found DESC: If no match is found the user should be informed but kept on the search page in order to get the possibility to conduct a new search right away.,FR
"Mobile application - Sorting results DESC: When viewing the results in a list, a user should be able to sort the results according to price, distance, restaurant type, specific dish or restaurant name. When sorting by restaurant name, specific dish or restaurant type the results should be ordered alphabetically. When sorting by price the results should be ordered from cheapest to most expensive. When sorting by distance the results should be ordered from closets to furthest distance according to the userâ€™s position. When the sort button for a specific search option is clicked, then the order should be reversed and ordered in a descending matter. If the sort button is clicked again the order of the results should be reversed.",FR
"Mobile application - Filtering results DESC: When viewing the results in a list or a map, a user should be able to filter the results in a filtering menu. The filtering options include: increasing or decreasing the maximum distance increasing or decreasing the maximum price choosing a restaurant type choosing a specific dish",FR
"Mobile application - Profile page DESC: On the mobile application, a user should have a profile page. On the profile page a user can edit his/her information, which includes the password, e-mail address and phone number. A user should also be able to choose what language the mobile application should be set to. The different language choices are Swedish, English, Spanish and French.",FR
Required information for registration Given the restaurant owner wants to create an account And the restaurant owner does not have an account When the restaurant owner registers on the web-portal by providing user-name And password And address And e-mail address And phone number Then the restaurant owner should be able to apply for verification ,FR
Full information for registration Given the restaurant owner wants to create an account And the restaurant owner does not have an account When the restaurant owner registers on the web-portal by providing user name And password And address And e-mail address And phone number And mobile number Then the restaurant owner should be able to apply for verification,FR
